Ep No.,Name,Type,Date
288,Fukurou's Miscalculation! My Cola Is the Water of Life!,Manga Canon,2006-12-03
289,Zoro Busts Out a New Technique! The Sword's Name Is Sniperking?,Manga Canon,2006-12-10
290,Uncontrollable! Chopper's Forbidden Rumble!,Manga Canon,2006-12-17
291,Boss Luffy Returns! Is It a Dream or Reality? Lottery Ruckus!,Filler,2006-12-24
292,A Big Rice Cake Tossing Race at the Castle! Red Nose's Plot!,Filler,2007-01-07
293,Bubble Master Kalifa! The Soap Trap Closes in on Nami!,Manga Canon,2007-01-14
294,Resounding Bad News! The Buster Call Invoked!,Manga Canon,2007-01-21
295,Five Namis? Nami Strikes Back With Mirages!,Manga Canon,2007-01-28
296,Nami's Decision! Fire at the Out-of-Control Chopper!,Manga Canon,2007-02-04
297,Hunter Sanji Makes an Entrance? Elegy for a Lying Wolf!,Manga Canon,2007-02-11
298,Fiery Kicks! Sanji's Full Course of Foot Techniques!,Manga Canon,2007-02-25
299,"Fierce Sword Attacks! Zoro vs. Kaku, Powerful Sword Fighting Showdown!",Manga Canon,2007-03-04
300,Demon God Zoro! An Incarnation of Asura Born From Fighting Spirit!,Manga Canon,2007-03-11
301,Spandam Frightened! The Hero on the Tower of Law!,Manga Canon,2007-03-18
302,"Robin Freed! Luffy vs. Lucci, Showdown Between Leaders!",Manga Canon,2007-03-25
303,Boss Luffy Is the Culprit? Track Down the Missing Great Cherry Tree!,Filler,2007-04-01
304,I Can't Protect Anyone Unless I Win! Third Gear Activated!,Manga Canon,2007-04-08
305, Shivering Past! Dark Justice and Rob Lucci!,Manga Canon,2007-04-15
306,A Mysterious Mermaid Appears? As Consciousness Fades Away...,Manga Canon,2007-04-22
307,Cannon Fire Sinks the Island! Franky's Lamentation!,Manga Canon,2007-04-29
308,Wait for Luffy! Mortal Combat on the Bridge of Hesitation!,Manga Canon,2007-05-06
309,Fists Full of Emotion! Luffy Unleashes Gatling With All His Might!,Manga Canon,2007-05-13
310,"From the Sea, a Friend Arrives! The Straw Hats Share the Strongest Bond!",Manga Canon,2007-05-20
311,Everyone Makes a Great Escape! The Road to Victory Is for the Pirates!,Manga Canon,2007-05-27
312,"Thank You, Merry! Snow Falls Over the Parting Sea!",Manga Canon,2007-06-03
313,Peace Interrupted! A Navy Vice Admiral With a Fist of Love!,Manga Canon,2007-06-10
